Feature,Importance
UMAP_1,0.16240719241444046
UMAP_2,0.14944193882320406
has_budget,0.018808456227973808
genres_Romance,0.014370701759446942
genre_vote_mean,0.013385041490348703
budget,0.011998675453089079
genres_Action,0.011396115668303964
genres_TV Movie,0.011388381521681161
is_short_keyword,0.010484077966125535
genres_Adventure,0.00875721475412751
genres_Crime,0.008264636770637889
genres_Documentary,0.008034732652197299
genres_Fantasy,0.00680967007282557
genres_Music,0.006608419022905426
genres_Animation,0.004484789212440529
genres_Family,0.004182622650391215
genres_Drama,0.00375172729308589
genre_decade_vote_mean,0.0035838454923532484
genres_Mystery,0.003093801413143553
genres_Horror,0.003023110592215281
genres_History,0.002995507219814227
genres_Science Fiction,0.002914587776926759
genres_Thriller,0.002778985107794014
genres_War,0.002613155250581146
genres_Comedy,0.0021680823393498794
runtime,0.0015651471657183774
tagline_len,0.0015236528017329681
is_en,0.0015023119597603002
vote_count,0.001359229736695187
genres_Western,0.0012734117036771622
log_vote_count,0.00127255888270826
release_year,0.0008041821783741083
movie_age,0.0007602853281090931
votes_per_year,0.0007133107517867392
release_5_years,0.0005529823650559309
overview_len,0.00022902172254668672
